Carimbo de data/hora,"Baseado nisso, o que mais gostaria de ver na VII SESCOMP?",O que você quer ver?,"Além da indústria, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além da pesquisa, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além das atividades culturais, gostaria de conhecer alguma outra área?","Caso você também se interesse por assuntos diversos, separamos alguns:","Quais personalidades e influentes da área, regionais ou nacionais, você gostaria de ver na VII SESCOMP?",Quais atividades além das palestras e minicursos você gostaria que tivesse na SESCOMP?
20/11/2023 11:56:24,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,,,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Interação Humano-Computador, Compiladores",Atividades Culturais!,"Hackathon, Escape Room, Competição de Cosplay, Maratona de Programação, Shows de arte, Exposição de arte",Não,"Entretenimento e Conteúdo digital, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro",,
20/11/2023 11:59:33,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Machine Learning, Metaverso",Atividades Culturais!,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Qualidade de Software, Matemática Computacional",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Escape Room, Maratona de Programação, Competição de Just Dance",Não,"Saúde Mental, Jogos e Esportes, Guia de Carreira, Mercado Financeiro",,
20/11/2023 12:08:15,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Inteligência Artificial, Blockchain, Computação em Nuvem, Machine Learning, Casa Inteligentes, Empreendedorismo e Inovação, UX e UI, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Interação Humano-Computador, Arquitetura de Software, Matemática Computacional",Não,,,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, O futuro da Tecnologia","Fabio Akita, Gustavo Guanabara, Erick Wendell",
20/11/2023 12:13:27,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack",Atividades Culturais!,"Algoritmos em Grafos, Linguagens Formais e Autômatos",Atividades relacionadas ao mercado de trabalho.,"Jogos de Tabuleiro, Maratona de Programação",Não,"Saúde Mental, Tecnologia de Bem-estar",,
20/11/2023 12:13:35,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Inteligência Artificial, Blockchain, Cíber Segurança, Tecnologia na Educação, Machine Learning, LGPD, UX e UI, QA (Quality Assurance), Gestão de projetos, Ética na computação, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Computação Gráfica, Gerência de Projetos de Software, Verificação e Validação, Compiladores, Sistemas Multiagentes",Não,,,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo","Afredo soares, Marcelo paz, semenzaro, Carol paiffer, caito maia.",Estrutura de currículo no LinkedIn Canva 
20/11/2023 12:14:00,Atividades relacionadas ao mercado de trabalho.,"Computação em Nuvem, Cíber Segurança, Imagem Digital, LGPD, Robótica, UX e UI, QA (Quality Assurance), Desenvolvimento Front-end, DevOps, Testes Automatizados, Documentação de Software",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Computação Gráfica, Sistemas Operacionais, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Sistemas Distribuídos",Não,,,"Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia",Mano Deyvin,Desenvolvimento Android
20/11/2023 12:15:15,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação em Nuvem, Cíber Segurança, UX e UI, Ciência de Dados, Desenvolvimento Full-Stack, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos, Interação Humano-Computador",Não,Jogos eletrônicos,Atividades relacionadas ao mercado de trabalho.,,,
20/11/2023 12:15:25,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Imagem Digital, Drones, Machine Learning, Computação Quântica, Robótica, Cidades inteligentes, Tecnologia Espacial, Ciência de Dados",Atividades Culturais!,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Gerência de Projetos de Software, Compiladores, Sistemas Distribuídos, Matemática Computacional, Sistemas Multiagentes",Não,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Maratona de Programação, Competição de Just Dance, Experiência de Realidade Virtual, Sessão de Forró",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, O futuro da Tecnologia",,
20/11/2023 12:16:56,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Imagem Digital, Drones, Tecnologia na Educação, Varejo de alta tecnologia/comércio eletrônico, Computação Quântica, Cidades inteligentes, Tecnologia Espacial, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metodologias Ágeis, Metaverso",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Manutenção de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Sistemas Multiagentes",Não,,,"Entretenimento e Conteúdo digital, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",mark zuckerberg,competições em geral
20/11/2023 12:19:32,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Machine Learning, Computação Quântica, Robótica, Casa Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, UX e UI, Ciência de Dados, Desenvolvimento Full-Stack, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Matemática Computacional, Sistemas Multiagentes",Atividades Culturais!,"Hackathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Maratona de Programação, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Contação de Histórias, Apresentação de literatura e poesia",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 12:21:38,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Machine Learning, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Desenvolvimento de jogos",Não,,,"Entretenimento e Conteúdo digital, Jogos e Esportes, Guia de Carreira, O futuro da Tecnologia",,
20/11/2023 12:22:01,Atividades Culturais!,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Imagem Digital, Robótica, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, Sustentabilidade, UX e UI, Impressão 3D, Desenvolvimento Full-Stack, Metaverso, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação Gráfica, Interação Humano-Computador, Redes de Computadores, Linguagens Formais e Autômatos",Não,"Hackathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologia de Bem-estar, O futuro da Tecnologia",,
20/11/2023 12:24:54,Atividades relacionadas ao mercado de trabalho.,"LGPD, UX e UI, QA (Quality Assurance), Gestão de projetos, Ciência de Dados, Desenvolvimento Front-end, DevOps, Elicitação de Requisitos, Metodologias Ágeis, Metodologias Prescritivas, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação Gráfica, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação",Atividades Culturais!,"Jogos eletrônicos, Jogos de Tabuleiro, Sessão de RPG, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Não,"Saúde Mental, Jogos e Esportes, Tecnologia de Bem-estar, Guia de Carreira, O futuro da Tecnologia",,
20/11/2023 12:27:59,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, LGPD, Computação Quântica, Cidades inteligentes, Sustentabilidade, UX e UI, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metodologias Ágeis, Metaverso",Atividades Culturais!,"Arquitetura de Computadores, Linguagens de Programação, Computação Gráfica, Sistemas Operacionais, Interação Humano-Computador, Linguagens Formais e Autômatos",Atividades relacionadas ao mercado de trabalho.,"Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Competição de Cosplay, Sessão de RPG, Experiência de Realidade Virtual",Não,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade","Space Coding, Gi Bordignon",Competição de dança
20/11/2023 12:28:26,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Computação Quântica, Robótica, Empreendedorismo e Inovação, Gestão de projetos, Segurança da Internet, Ciência de Dados, Desenvolvimento Back-end",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Linguagens de Programação, Computação Gráfica, Sistemas Operacionais, Redes de Computadores",Atividades Culturais!,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Sala de Descompressão, Competição de Just Dance, Apresentações teatrais, Experiência de Realidade Virtual, Sessão de Hit Dance, Sessão de Forró",Não,"Saúde Mental, Fitness, Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 12:29:02,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Drones, Machine Learning, UX e UI, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Metodologias Ágeis, Metaverso, Testes Automatizados, Documentação de Software",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sessão de RPG",Não,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade, Mercado Financeiro, O futuro da Tecnologia, ","O felipe deschamps, o pessoal da BMO, as startups do campus, e algumas pessoas da bolha dev",
20/11/2023 12:31:01,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, QA (Quality Assurance)",Atividades Culturais!,,,"Jogos eletrônicos, Competição de Just Dance, Experiência de Realidade Virtual",Não,"Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar",,
20/11/2023 12:31:37,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Tecnologia na Educação, Machine Learning, UX e UI, Elicitação de Requisitos, Metodologias Ágeis",Atividades Culturais!,"Estrutura de Dados, Matemática Computacional",Atividades relacionadas ao mercado de trabalho.,"Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Sala de Descompressão, Maratona de Programação, Competição de Just Dance, Apresentações teatrais, Exposição de arte, Sessão de Hit Dance",Não,"Saúde Mental, Jogos e Esportes, Marketing e Publicidade, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 12:33:41,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Cíber Segurança, Machine Learning, Computação Quântica, Tecnologia Esportiva, Sustentabilidade, Empreendedorismo e Inovação, Desenvolvimento Back-end, Documentação de Software, Dev de games ",Atividades Culturais!,"Linguagens de Programação, Computação Gráfica",Atividades Culturais!,"Competição de Cosplay, Maratona de Programação, Sessão de RPG, Experiência de Realidade Virtual",Não,"Saúde Mental, Jogos e Esportes, Tecnologia de Bem-estar, Mercado Financeiro, O futuro da Tecnologia",COXINHA E DOQUINHA,Campeonatos de games 
20/11/2023 12:34:22,Atividades relacionadas ao mercado de trabalho.,"LGPD, Casa Inteligentes, Sustentabilidade, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Testes Automatizados, Desenvolvimento Mobile",Atividades Culturais!,,,"Barraca de Comidas Típicas, Jogos eletrônicos, Escape Room, Sala de Descompressão, Sessão de RPG, Apresentações teatrais, Exposição de arte, Sessão de Hit Dance",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Fitness, Jogos e Esportes, Processo Seletivo, Guia de Carreira",,Criptografia 
20/11/2023 12:37:48,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Cíber Segurança, Computação Quântica, Desenvolvimento Back-end, Desenvolvimento Full-Stack, DevOps",Não,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Arquitetura de Software, Matemática Computacional",Atividades relacionadas ao mercado de trabalho.,,,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Guia de Carreira, Mercado Financeiro"," Flávio Silva, Marcelo Finger, Ana Melo, Jovem Tranquilao, Mano Deyvin, Lorene Fadel","Hackaton, acho que poderia ter uma igual a desse ano e poderia ter outra onde a gente tem que criar algo e nao so resolver desafios"
20/11/2023 12:38:34,Atividades Culturais!,,,,,"Hackathon, Barraca de Comidas Típicas, Jogos eletrônicos, Competição de Cosplay, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Exposição de arte, Experiência de Realidade Virtual, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Não,"Saúde Mental, Fitness, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Fabio Akita, Mano deyvin, Picolo, rodrigos Branas, ","Um ringue de luta dicente vs docente, para tirar o melhor proveito desta atividade é esparado que forneçam as proteções."
20/11/2023 12:39:11,Atividades relacionadas ao mercado de trabalho.,"Imagem Digital, IoT/Sesnsores, Sustentabilidade",Atividades Culturais!,,,"Ideathon, Jogos eletrônicos, Sala de Descompressão, Exposição de arte, Oficinas de Tecnologia e Arte",Não,"Saúde Mental, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar",,
20/11/2023 12:40:04,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Drones, Machine Learning, Robótica, Eletrônicos Inteligentes, Tecnologia Espacial, Sustentabilidade, UX e UI, Gestão de projetos, Segurança da Internet, Ética na computação, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, DevOps, Elicitação de Requisitos, Metaverso, Documentação de Software, Desenvolvimento Mobile",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Game Design",Não,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Apresentações teatrais, Experiência de Realidade Virtual, Espetáculo de dança, Contação de Histórias, Sessão de Hit Dance, Sessão de Forró",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, Fitness, Jogos e Esportes, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia, Preparação de currículo",Daniel Lacerda,Karaoke
20/11/2023 13:01:47,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, UX e UI, Desenvolvimento Front-end",Não,,,,,"Fitness, Marketing e Publicidade, Processo Seletivo, Guia de Carreira","https://instagram.com/designfromhuman?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/thaishipolito?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/ninatalks?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/richardrx?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/andrevalentim?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/descomplicandosites?igshid=NGVhN2U2NjQ0Yg==

https://instagram.com/gilbertoprado.design?igshid=NGVhN2U2NjQ0Yg==",
20/11/2023 13:05:27,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Cíber Segurança, Machine Learning, Varejo de alta tecnologia/comércio eletrônico, LGPD, Ciência de Dados, Testes Automatizados",Não,"Estrutura de Dados, Computação Gráfica, Gerência de Projetos de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Jogos eletrônicos, Jogos de Tabuleiro, Sala de Descompressão, Espetáculo de dança",Atividades relacionadas ao mercado de trabalho.,"Entretenimento e Conteúdo digital, Marketing e Publicidade, O futuro da Tecnologia",,
20/11/2023 13:06:23,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Drones, IoT/Sesnsores, Computação Quântica, Cidades inteligentes, Tecnologia Espacial, UX e UI, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metaverso, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Interação Humano-Computador, Matemática Computacional",Atividades Culturais!,"Ideathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Sessão de Forró",Não,"Saúde Mental, Marketing e Publicidade, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Guanabara, coisa de nerd, o Iberê manual do mundo.",
20/11/2023 13:10:28,Atividades relacionadas ao mercado de trabalho.,Tecnologia Espacial,Não,,,,,Fitness,,
