Carimbo de data/hora,"Baseado nisso, o que mais gostaria de ver na VII SESCOMP?",O que você quer ver?,"Além da indústria, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além da pesquisa, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além das atividades culturais, gostaria de conhecer alguma outra área?","Caso você também se interesse por assuntos diversos, separamos alguns:","Quais personalidades e influentes da área, regionais ou nacionais, você gostaria de ver na VII SESCOMP?",Quais atividades além das palestras e minicursos você gostaria que tivesse na SESCOMP?
20/11/2023 13:22:53,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Drones, Tecnologia na Educação, Machine Learning, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Esportiva, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Metaverso, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Sistemas Operacionais, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Competição de Just Dance, Shows de arte, Apresentações teatrais, Experiência de Realidade Virtual, Espetáculo de dança, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",Anderson Feitoza,ping pong
20/11/2023 13:25:29,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, UX e UI, Gestão de projetos, Desenvolvimento Front-end, Elicitação de Requisitos",Não,,,,,"Estilo de vida e Família, Marketing e Publicidade, Processo Seletivo, Guia de Carreira, Mercado Financeiro",Otávio Miranda (Ele tem uma didática muito boa).,
20/11/2023 13:44:28,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,,,"Estrutura de Dados, Algoritmos em Grafos, Interação Humano-Computador, Qualidade de Software, Verificação e Validação",Atividades Culturais!,"Hackathon, Shows musicais, Shows de arte, Contação de Histórias",Não,"Saúde Mental, Estilo de vida e Família","Prof. Gustavo Guanabara, Leon (Coisa de Nerd), Rafaela Balerini e Fernanda Kipper.",
20/11/2023 14:10:20,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Drones, IoT/Sesnsores, Robótica, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, UX e UI, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Metaverso, Desenvolvimento Mobile",Não,Inteligência artificial ,Atividades relacionadas ao mercado de trabalho.,,,"Entretenimento e Conteúdo digital, Fitness, Jogos e Esportes, Tecnologia de Bem-estar, O futuro da Tecnologia",Sandro Mesquita,
20/11/2023 14:16:58,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação Quântica, Empreendedorismo e Inovação, Desenvolvimento Back-end, Elicitação de Requisitos",Atividades Culturais!,,,"Barraca de Comidas Típicas, Shows musicais, Maratona de Programação, Experiência de Realidade Virtual",Não,"Entretenimento e Conteúdo digital, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia","Guanabara, Codigo Fonte TV, Deschamps",
20/11/2023 14:55:10,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Inteligência Artificial, Computação em Nuvem, Drones, Tecnologia na Educação, IoT/Sesnsores, Robótica, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Esportiva, Segurança da Internet, Impressão 3D, Desenvolvimento Full-Stack, Metaverso, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação Gráfica, Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Manutenção de Software",Atividades Culturais!,"Jogos eletrônicos, Escape Room, Maratona de Programação, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Não,"Entretenimento e Conteúdo digital, Jogos e Esportes, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia","Guanabara, space coding, dianacode",Formas de se manter motivado para tecnologia
20/11/2023 14:59:26,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Cíber Segurança, Imagem Digital, Varejo de alta tecnologia/comércio eletrônico, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, UX e UI, QA (Quality Assurance), Gestão de projetos, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Atividades Culturais!,"Linguagens de Programação, Qualidade de Software, Verificação e Validação, Manutenção de Software",Atividades relacionadas ao mercado de trabalho.,"Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Sala de Descompressão, Maratona de Programação, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Espetáculo de dança, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Marketing e Publicidade, Mercado Financeiro",Guanabara,
20/11/2023 15:08:55,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Computação Quântica, Robótica, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metaverso, Testes Automatizados",Atividades Culturais!,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Competição de Just Dance, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Não,"Fitness, Jogos e Esportes, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 16:00:46,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Imagem Digital, Drones, Machine Learning, Varejo de alta tecnologia/comércio eletrônico, IoT/Sesnsores, Computação Quântica, Robótica, Casa Inteligentes, Tecnologia Espacial, Sustentabilidade, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação Gráfica, Interação Humano-Computador, Redes de Computadores, Sistemas Distribuídos, Sistemas Multiagentes",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Maratona de Programação, Competição de Just Dance, Shows de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Contação de Histórias, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Fitness, Jogos e Esportes, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Profa. Dra.  Rossana Andrade, Prof. Me. Pitágoras Graça Martins, Rafaella Ballerini, Débora Ruth",Salas Temáticas e cinema ou apresentação teatral.
20/11/2023 16:07:17,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Inteligência Artificial, Cíber Segurança, Machine Learning, Robótica, Sustentabilidade, UX e UI, Segurança da Internet, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Redes de Computadores, Compiladores, Matemática Computacional",Não,,,"Entretenimento e Conteúdo digital, Saúde Mental, Fitness, Jogos e Esportes, Guia de Carreira, Mercado Financeiro",,
20/11/2023 16:19:09,Atividades Culturais!,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Drones, Computação Quântica, Robótica, Casa Inteligentes, Tecnologia Espacial, UX e UI, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Linguagens de Programação, Computação Gráfica, Gerência de Projetos de Software, Verificação e Validação, Arquitetura de Software, Matemática Computacional",Não,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Escape Room, Competição de Cosplay, Maratona de Programação, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança",Atividades relacionadas ao mercado de trabalho.,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 16:51:22,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Machine Learning, Robótica, Casa Inteligentes, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Desenvolvimento Back-end, Desenvolvimento Front-end, Documentação de Software, Desenvolvimento Mobile",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Maratona de Programação, Shows de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Não,"Saúde Mental, Jogos e Esportes, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
20/11/2023 17:24:44,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Cíber Segurança, IoT/Sesnsores, Sustentabilidade, UX e UI, Segurança da Internet, Ciência de Dados, DevOps, Documentação de Software",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Interação Humano-Computador",Não,,,"Saúde Mental, Jogos e Esportes, Processo Seletivo, Guia de Carreira",,
20/11/2023 18:29:24,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Imagem Digital, Drones, Machine Learning, IoT/Sesnsores, LGPD, Computação Quântica, Robótica, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, UX e UI, QA (Quality Assurance), Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Metodologias Ágeis, Metodologias Prescritivas, Metaverso, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Padrões de Projetos, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos",Não,"Hackathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Maratona de Programação, Shows de arte, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Jogos e Esportes, Mercado Financeiro, O futuro da Tecnologia",⠀,⠀
20/11/2023 19:12:51,Atividades relacionadas ao mercado de trabalho.,Desenvolvimento Full-Stack,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação",Não,,,"Saúde Mental, Guia de Carreira, O futuro da Tecnologia",Fabio Akita,
20/11/2023 19:30:39,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Acessibilidade Digital, Blockchain, Moeda Digital/Criptomoeda, Drones, Tecnologia na Educação, LGPD, Cidades inteligentes, Segurança da Internet, Desenvolvimento Back-end, DevOps, Testes Automatizados, Documentação de Software",Atividades Culturais!,"Arquitetura de Computadores, Linguagens de Programação, Sistemas Operacionais, Qualidade de Software, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Sistemas Distribuídos",Atividades relacionadas ao mercado de trabalho.,"Barraca de Comidas Típicas, Shows musicais, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Apresentações teatrais, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Forró",Não,"Saúde Mental, Jogos e Esportes, Processo Seletivo, Guia de Carreira",,
20/11/2023 19:52:04,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Drones, Tecnologia na Educação, Cidades inteligentes, Casa Inteligentes, Tecnologia Espacial, Ciência de Dados, Análise de dados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Algoritmos em Grafos, Interação Humano-Computador, Banco de Dados",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Jogos eletrônicos, Escape Room, Sala de Descompressão, Maratona de Programação, Experiência de Realidade Virtual",Não,"Entretenimento e Conteúdo digital, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia","@kipper.dev
@bruno.jardim_pod
@kamila_code
@dev_steph
@ana.tech.dev
@machineisa
@ananeridev
@dianacodes
",
20/11/2023 20:53:18,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Drones, Tecnologia na Educação, LGPD, Computação Quântica, Robótica, Tecnologia Espacial, Sustentabilidade, UX e UI, QA (Quality Assurance), Ética na computação, Impressão 3D, Desenvolvimento Full-Stack, Metaverso, ",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Interação Humano-Computador, Sistemas Distribuídos, Matemática Computacional",Atividades Culturais!,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Mercado Financeiro, O futuro da Tecnologia","Camila Achutti, Katie Bouman, Gabriel Pato(hacker ético), Guanabara, Filipi deschamps, Manual do Mundo, Nina da hora, código fonte,. Especialista da google, meta, microsoft, apple.",
20/11/2023 21:11:31,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Drones, Tecnologia na Educação, Cidades inteligentes, Tecnologia Espacial, Ciência de Dados, Metaverso, Análise de dados ",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Algoritmos em Grafos, Padrões de Projetos, Interação Humano-Computador, Banco de dados",Não,,,"Entretenimento e Conteúdo digital, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Renato Chrestenzen(linkedln)
Anne Kariny Silva Freitas(linkedln)
@adriana.saty
@akaliueda
@bruno.jardim_pod
@kipper.dev
@dev_steph
@ananeridev
@dianacodes
@ana.tech.dev
@okamila_code",
20/11/2023 21:20:19,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Computação em Nuvem, Cíber Segurança, Segurança da Internet, Ciência de Dados, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Computação Gráfica, Sistemas Operacionais, Redes de Computadores, Arquitetura de Software",Não,,,"Jogos e Esportes, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia",Vasco da Gama,
21/11/2023 00:57:18,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Machine Learning, Wearables, Computação Quântica, Robótica, Cidades inteligentes, Ciência de Dados, Desenvolvimento Full-Stack, DevOps",Atividades Culturais!,"Linguagens de Programação, Algoritmos em Grafos, Sistemas Operacionais, Padrões de Projetos, Redes de Computadores, Linguagens Formais e Autômatos",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Shows de arte, Apresentações teatrais, Exposição de arte, Oficinas de Tecnologia e Arte",Não,"Saúde Mental, Processo Seletivo, O futuro da Tecnologia",,
21/11/2023 01:57:19,Atividades relacionadas ao mercado de trabalho.,"Varejo de alta tecnologia/comércio eletrônico, Casa Inteligentes, Eletrônicos Inteligentes, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, DevOps, Metodologias Ágeis, Testes Automatizados",Atividades Culturais!,Qualidade de Software,Não,"Hackathon, Ideathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Sessão de RPG, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, Marketing e Publicidade, Tecnologia de Bem-estar, O futuro da Tecnologia",Fernando Papito,
21/11/2023 04:35:11,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,,,"Arquitetura de Computadores, Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Interação Humano-Computador, Redes de Computadores, Matemática Computacional",Atividades Culturais!,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Não,"Saúde Mental, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Mercado Financeiro, O futuro da Tecnologia",,
21/11/2023 06:50:25,Atividades Culturais!,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Drones, Tecnologia na Educação, LGPD, Cidades inteligentes, Casa Inteligentes, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Não,"Sistemas Operacionais, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Arquitetura de Software, Matemática Computacional, Sistemas Multiagentes",Atividades relacionadas ao mercado de trabalho.,"Barraca de Comidas Típicas, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró, ",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Tecnologia de Bem-estar","George Valença, Adriana Lopes, Simone Junqueira, Milene Selbach, Ticiane Darin, Tayana Conte(Pf convidem a Tayana, convidem pf pf pf ENORME nome de ES no meio feminino nacional e internacional), A prof Luciana Zaina, o Capelo, orientador da Tati, a Rossana do Great.",Um intensivo abordando soft skills
