Carimbo de data/hora,"Baseado nisso, o que mais gostaria de ver na VII SESCOMP?",O que você quer ver?,"Além da indústria, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além da pesquisa, gostaria de conhecer alguma outra área?",O que você quer ver?,"Além das atividades culturais, gostaria de conhecer alguma outra área?","Caso você também se interesse por assuntos diversos, separamos alguns:","Quais personalidades e influentes da área, regionais ou nacionais, você gostaria de ver na VII SESCOMP?",Quais atividades além das palestras e minicursos você gostaria que tivesse na SESCOMP?
21/11/2023 10:32:03,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Cíber Segurança, Moeda Digital/Criptomoeda, Machine Learning, Computação Quântica, Robótica, Cidades inteligentes, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, Gestão de projetos, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Gerência de Projetos de Software, Interação Humano-Computador, Compiladores",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Maratona de Programação, Apresentações teatrais, Exposição de arte, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Mercado Financeiro, O futuro da Tecnologia",,
21/11/2023 13:47:17,Atividades Culturais!,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Wearables, IoT/Sesnsores, Cidades inteligentes, Casa Inteligentes, Empreendedorismo e Inovação, UX e UI, Impressão 3D, Desenvolvimento Mobile",Não,,,"Shows musicais, Jogos eletrônicos, Competição de Cosplay, Sala de Descompressão, Competição de Just Dance, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Atividades relacionadas ao mercado de trabalho.,"Entretenimento e Conteúdo digital, Marketing e Publicidade, Guia de Carreira, O futuro da Tecnologia",,
21/11/2023 13:55:37,Atividades Culturais!,,,,,"Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Just Dance, Experiência de Realidade Virtual, Espetáculo de dança",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, O futuro da Tecnologia",,
21/11/2023 21:33:03,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Drones, Machine Learning, Computação Quântica, Robótica, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, Segurança da Internet, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Metaverso, Testes Automatizados, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Computação Gráfica, Sistemas Operacionais, Interação Humano-Computador, Redes de Computadores, Sistemas Distribuídos, Matemática Computacional",Atividades Culturais!,"Hackathon, Ideathon, Jogos eletrônicos, Maratona de Programação, Experiência de Realidade Virtual, Apresentação de literatura e poesia",Não,"Saúde Mental, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Karol Attekita, Akari Ueda",Entrevistas (tipo um podcast) com personalidades.
22/11/2023 14:33:47,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Imagem Digital, Tecnologia na Educação, Machine Learning, IoT/Sesnsores, LGPD, Robótica, Empreendedorismo e Inovação, Segurança da Internet, Ética na computação, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Elicitação de Requisitos, Metodologias Ágeis, Metaverso",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Segurança da informação ",Atividades relacionadas ao mercado de trabalho.,"Shows musicais, Jogos eletrônicos, Escape Room, Competição de Cosplay, Maratona de Programação, Shows de arte, Exposição de arte, Oficinas de Tecnologia e Arte, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia","Guanabara,Leonardo Leitão.","Atração musical, apresentação de teatro."
22/11/2023 19:16:20,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Tecnologia na Educação, Wearables, Tecnologia Espacial, Tecnologia Esportiva, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Testes Automatizados, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos",Não,,,"Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Bonieky Lacerda, Mario Soutinho, Balta, Fábio Akita","Docker, Kubernetes, MongoDB, Vue.js, .Net 8, Blazor"
24/11/2023 10:21:03,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Imagem Digital, Tecnologia na Educação, Varejo de alta tecnologia/comércio eletrônico, LGPD, Tecnologia Espacial, Tecnologia Esportiva, Sustentabilidade, Empreendedorismo e Inovação, Gestão de projetos, Metodologias Ágeis, Metodologias Prescritivas",Atividades Culturais!,,,"Hackathon, Sala de Descompressão, Sessão de RPG, Apresentações teatrais, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Sessão de Hit Dance, Sessão de Forró",Não,"Saúde Mental, Fitness, Marketing e Publicidade, Mercado Financeiro",,
24/11/2023 12:49:43,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Cíber Segurança, Machine Learning, Computação Quântica, Robótica, Segurança da Internet, Desenvolvimento Full-Stack, Metaverso",Não,"Arquitetura de Computadores, Linguagens de Programação, Computação Gráfica, Matemática Computacional",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Oficinas de Tecnologia e Arte, Espetáculo de dança",Atividades relacionadas ao mercado de trabalho.,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Marketing e Publicidade, Mercado Financeiro, O futuro da Tecnologia","Gustavo Guanabara , Código fonte ",.
24/11/2023 14:58:48,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Cíber Segurança, Machine Learning, Computação Quântica, Robótica, Cidades inteligentes, Empreendedorismo e Inovação, Segurança da Internet, Ciência de Dados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Gerência de Projetos de Software, Linguagens Formais e Autômatos, Matemática Computacional",Não,,,"Saúde Mental, Jogos e Esportes, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia",Gustavo Guanabara,Gincana
24/11/2023 16:47:08,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Blockchain, Cíber Segurança, Machine Learning, Varejo de alta tecnologia/comércio eletrônico, QA (Quality Assurance), Ciência de Dados, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Manutenção de Software, Arquitetura de Software",Atividades Culturais!,"Hackathon, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Competição de Cosplay, Maratona de Programação, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Não,"Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia","Guanabara, Peter ei nerd,  programadores senior, Qa senior, devps senior, alexandre professor (contar história de dev)",
24/11/2023 20:37:39,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Tecnologia Esportiva, Desenvolvimento Full-Stack, Metaverso",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Computação Gráfica, Qualidade de Software",Não,,,"Entretenimento e Conteúdo digital, Jogos e Esportes, Marketing e Publicidade, Guia de Carreira, Mercado Financeiro","Augusuto Monteiro de Morada Nova, ceará",
24/11/2023 20:40:35,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Tecnologia na Educação, Machine Learning, Varejo de alta tecnologia/comércio eletrônico, Eletrônicos Inteligentes, Tecnologia Espacial, Tecnologia Esportiva, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Metodologias Ágeis, Metaverso, Testes Automatizados, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Sistemas Operacionais, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Matemática Computacional, Sistemas Multiagentes",Não,,,"Entretenimento e Conteúdo digital, Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Mercado Financeiro, O futuro da Tecnologia","Irmãos Dev, do canal Devemdobro",
24/11/2023 20:47:28,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Imagem Digital, Tecnologia na Educação, Machine Learning, Computação Quântica, Cidades inteligentes, Casa Inteligentes, Eletrônicos Inteligentes, Tecnologia Espacial, UX e UI, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps",Atividades Culturais!,"Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Manutenção de Software, Arquitetura de Software, Matemática Computacional",Não,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Shows de arte, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Entretenimento e Conteúdo digital, Saúde Mental, Tecnologia de Bem-estar, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",Guanabara e Felipe Deschamps,"Entretenimento ao todo, campeonatos e salas de jogos"
24/11/2023 20:49:54,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Robótica, Casa Inteligentes, Desenvolvimento Back-end",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos",Não,,,"Fitness, Jogos e Esportes, Processo Seletivo",Fabio Akita,Maratona de programação 
24/11/2023 20:52:55,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Moeda Digital/Criptomoeda, Imagem Digital, Tecnologia na Educação, Machine Learning, Computação Quântica, Casa Inteligentes, UX e UI, QA (Quality Assurance), Segurança da Internet, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Sistemas Operacionais, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Linguagens Formais e Autômatos, Compiladores, Sistemas Distribuídos, Matemática Computacional",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Escape Room, Competição de Cosplay, Maratona de Programação",Não,"Entretenimento e Conteúdo digital, Jogos e Esportes, Tecnologia de Bem-estar, Mercado Financeiro",,
24/11/2023 20:54:30,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Inteligência Artificial, Blockchain, Computação em Nuvem, Cíber Segurança, Machine Learning, Varejo de alta tecnologia/comércio eletrônico, UX e UI, QA (Quality Assurance), Segurança da Internet, Ciência de Dados, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Metodologias Ágeis, Testes Automatizados, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Algoritmos em Grafos, Padrões de Projetos, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software",Não,,,"Saúde Mental, Fitness, Jogos e Esportes, Marketing e Publicidade, Tecnologia de Bem-estar, Processo Seletivo, Mercado Financeiro",,
24/11/2023 20:55:58,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Tecnologias 5G, Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Imagem Digital, Drones, Robótica, Casa Inteligentes, Tecnologia Espacial, Sustentabilidade, QA (Quality Assurance), Segurança da Internet, Ciência de Dados, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Sistemas Operacionais, Gerência de Projetos de Software, Qualidade de Software, Verificação e Validação, Linguagens Formais e Autômatos, Redes de computadores ",Não,,,"Saúde Mental, Jogos e Esportes, Tecnologia de Bem-estar, Processo Seletivo, O futuro da Tecnologia","Rafaella Ballerini, Ana Tex",Competição de futebol de robótica
24/11/2023 20:56:27,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Robótica, Segurança da Internet, DevOps, Testes Automatizados",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Redes de Computadores, Verificação e Validação, Matemática Computacional",Não,,,"Saúde Mental, Jogos e Esportes, Processo Seletivo, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",Gabriel Lima(Vulgo Gabriel Pato),o Vitor cantando ao vivo
24/11/2023 21:00:01,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Imagem Digital, Drones, Tecnologia na Educação, Machine Learning, Tecnologia Espacial, Sustentabilidade, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ética na computação, Ciência de Dados, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Elicitação de Requisitos, Metaverso, Documentação de Software, Desenvolvimento Mobile, Game Design",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Algoritmos em Grafos, Computação Gráfica, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Matemática Computacional",Atividades Culturais!,"Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Competição de Cosplay, Sala de Descompressão, Sessão de RPG, Competição de Just Dance, Apresentações teatrais, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Contação de Histórias, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró, Competição de jogos Indie ou competitivos, como NFS, SpeedRunners, Overcooked, FIFA, CoD, etc.",Não,"Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia, Dicas para preenchimento de Currículo",Daniel Lacerda - IF de Jaguaruana,Competição de jogos diversos ou até mesas de RPG
24/11/2023 22:41:52,Atividades relacionadas ao mercado de trabalho.,"Acessibilidade Digital, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Imagem Digital, Machine Learning, IoT/Sesnsores, Robótica, Eletrônicos Inteligentes, Tecnologia Espacial, Sustentabilidade, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Ciência de Dados, Desenvolvimento Front-end, Elicitação de Requisitos, Metodologias Ágeis, Metodologias Prescritivas, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Atividades Culturais!,"Estrutura de Dados, Algoritmos em Grafos, Computação Gráfica, Gerência de Projetos de Software, Interação Humano-Computador, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software",Não,"Hackathon, Ideathon, Jogos eletrônicos, Jogos de Tabuleiro, Escape Room, Sala de Descompressão, Maratona de Programação, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Saúde Mental, Estilo de vida e Família, Jogos e Esportes, Guia de Carreira, Mercado Financeiro, O futuro da Tecnologia",,
25/11/2023 11:35:19,Atividades relacionadas ao mercado de trabalho.,"Tecnologias 5G, Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Cíber Segurança, Drones, Wearables, Varejo de alta tecnologia/comércio eletrônico, IoT/Sesnsores, Computação Quântica, Robótica, Eletrônicos Inteligentes, Tecnologia Esportiva, Segurança da Internet, Impressão 3D, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, DevOps, Desenvolvimento Mobile",Atividades Culturais!,,,"Hackathon, Ideathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Competição de Cosplay, Maratona de Programação, Sessão de RPG, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Sessão de Hit Dance, Sessão de Forró",Não,"Entretenimento e Conteúdo digital, Saúde Mental, Jogos e Esportes, Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia",,
27/11/2023 18:06:19,Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Inteligência Artificial, Cíber Segurança, Tecnologia na Educação, Machine Learning, Segurança da Internet, Desenvolvimento Back-end, Desenvolvimento Front-end, Desenvolvimento Full-Stack, Metaverso",Atividades Culturais!,"Arquitetura de Computadores, Estrutura de Dados, Linguagens de Programação, Linguagens Formais e Autômatos, Segurança da Informação",Atividades relacionadas ao mercado de trabalho.,"Hackathon, Shows musicais, Escape Room, Competição de Just Dance",Não,"Tecnologia de Bem-estar, Processo Seletivo, Guia de Carreira, O futuro da Tecnologia","Rafaela Ballerini, Leonardo (Cod3r), Akitta, Código Fonte TV, Loiane Gronner ",
27/11/2023 20:24:49,Atividades relacionadas ao mercado de trabalho.,"Inteligência Artificial, Computação em Nuvem, Cíber Segurança, LGPD, Computação Quântica, Robótica, Tecnologia Espacial, Empreendedorismo e Inovação, UX e UI, QA (Quality Assurance), Gestão de projetos, Segurança da Internet, Ciência de Dados, Desenvolvimento Full-Stack, DevOps, Elicitação de Requisitos, Metodologias Ágeis, Metaverso, Testes Automatizados, Documentação de Software, Desenvolvimento Mobile",Atividades relacionadas às pesquisas em desenvolvimento na área de TI.,"Arquitetura de Computadores, Estrutura de Dados, Computação Gráfica, Padrões de Projetos, Gerência de Projetos de Software, Interação Humano-Computador, Redes de Computadores, Qualidade de Software, Verificação e Validação, Manutenção de Software, Arquitetura de Software, Compiladores, Sistemas Distribuídos, Matemática Computacional",Atividades Culturais!,"Hackathon, Barraca de Comidas Típicas, Shows musicais, Jogos eletrônicos, Jogos de Tabuleiro, Competição de Cosplay, Maratona de Programação, Sessão de RPG, Competição de Just Dance, Apresentações teatrais, Exposição de arte, Experiência de Realidade Virtual, Oficinas de Tecnologia e Arte, Espetáculo de dança, Apresentação de literatura e poesia, Sessão de Hit Dance, Sessão de Forró",Não,"Saúde Mental, Estilo de vida e Família, Fitness, Jogos e Esportes, Marketing e Publicidade, Processo Seletivo, Mercado Financeiro","Código fonte, Rafa Ballerini, Rafael Ivo, Anna Beatriz, Tatiane Fernandes, Reuber, Guanabara, Clube do Improviso, LabSoci... ",
27/11/2023 21:40:38,Atividades relacionadas ao mercado de trabalho.,"Realidade Aumentada (AR), Realidade Mista (MR), Realidade Virtual (VR) e Realidade Extendida, Inteligência Artificial, Computação em Nuvem, Cíber Segurança, Drones, Machine Learning, Cidades inteligentes, Casa Inteligentes, Desenvolvimento Full-Stack, Desenvolvimento Mobile",Não,,,,,"Saúde Mental, Jogos e Esportes","KipperDev, GirlCoding, balerini, O Primo Dev",